iter	Passed	Remaining
0	197	197476
1	442	220867
2	665	221241
3	912	227116
4	1134	225756
5	1384	229284
6	1658	235271
7	1898	235383
8	2180	240112
9	2422	239815
10	2658	239065
11	2894	238278
12	3127	237448
13	3366	237093
14	3644	239338
15	3895	239592
16	4145	239690
17	4386	239284
18	4650	240095
19	4899	240074
20	5181	241541
21	5424	241121
22	5662	240521
23	5901	240005
24	6131	239128
25	6408	240090
26	6670	240377
27	6908	239836
28	7141	239104
29	7369	238292
30	7614	238008
31	7862	237826
32	8122	238023
33	8366	237694
34	8609	237363
35	8840	236729
36	9082	236397
37	9312	235746
38	9550	235325
39	9778	234681
40	10027	234544
41	10259	234004
42	10492	233512
43	10731	233167
44	10996	233369
45	11240	233119
46	11485	232882
47	11734	232740
48	11980	232512
49	12238	232536
50	12468	232004
51	12708	231677
52	12953	231445
53	13180	230902
54	13417	230535
55	13663	230331
56	13891	229826
57	14127	229457
58	14359	229014
59	14613	228952
60	14843	228489
61	15107	228567
62	15342	228185
63	15583	227914
64	15813	227468
65	16039	226984
66	16283	226750
67	16541	226714
68	16771	226300
69	17003	225907
70	17231	225470
71	17468	225154
72	17727	225112
73	18000	225247
74	18257	225178
75	18501	224939
76	18741	224657
77	19001	224612
78	19263	224582
79	19525	224545
80	19758	224177
81	20063	224611
82	20334	224660
83	20621	224876
84	20849	224443
85	21080	224041
86	21330	223852
87	21595	223812
88	21835	223512
89	22065	223103
90	22300	222758
91	22531	222376
92	22777	222140
93	23007	221751
94	23239	221385
95	23470	221011
96	23716	220787
97	23967	220596
98	24200	220247
99	24434	219908
100	24683	219710
101	24925	219439
102	25153	219056
103	25383	218689
104	25619	218379
105	25843	217959
106	26070	217576
107	26296	217191
108	26573	217217
109	26802	216852
110	27054	216680
111	27295	216416
112	27524	216055
113	27764	215780
114	27996	215452
115	28220	215062
116	28448	214704
117	28692	214460
118	28920	214110
119	29159	213834
120	29382	213450
121	29619	213161
122	29846	212806
123	30077	212482
124	30302	212118
125	30555	211951
126	30791	211664
127	31016	211298
128	31265	211105
129	31491	210754
130	31741	210561
131	31972	210243
132	32208	209958
133	32433	209607
134	32668	209323
135	32895	208985
136	33126	208675
137	33366	208419
138	33606	208164
139	33841	207886
140	34071	207571
141	34307	207294
142	34536	206980
143	34774	206717
144	35002	206392
145	35248	206180
146	35486	205920
147	35723	205652
148	35953	205345
149	36182	205036
150	36410	204719
151	36657	204511
152	36883	204182
153	37112	203877
154	37357	203657
155	37601	203431
156	37843	203200
157	38086	202965
158	38324	202708
159	38587	202584
160	38820	202302
161	39047	201986
162	39273	201669
163	39522	201466
164	39758	201200
165	39980	200866
166	40216	200598
167	40475	200450
168	40718	200220
169	40983	200095
170	41227	199871
171	41453	199552
172	41698	199332
173	41935	199074
174	42166	198783
175	42392	198474
176	42643	198281
177	42893	198081
178	43123	197789
179	43368	197569
180	43601	197290
181	43847	197071
182	44072	196759
183	44301	196467
184	44526	196157
185	44762	195894
186	45003	195658
187	45237	195388
188	45475	195135
189	45708	194861
190	45945	194605
191	46179	194337
192	46402	194025
193	46634	193749
194	46865	193469
195	47094	193185
196	47321	192887
197	47548	192595
198	47774	192300
199	48013	192054
200	48239	191758
201	48469	191478
202	48699	191200
203	48941	190966
204	49178	190714
205	49406	190430
206	49639	190163
207	49868	189883
208	50122	189698
209	50350	189412
210	50585	189157
211	50817	188888
212	51046	188607
213	51287	188372
214	51516	188094
215	51768	187899
216	52001	187637
217	52237	187382
218	52481	187159
219	52715	186899
220	52946	186630
221	53183	186380
222	53414	186113
223	53647	185850
224	53878	185582
225	54099	185280
226	54354	185093
227	54593	184850
228	54824	184582
229	55051	184303
230	55278	184022
231	55515	183777
232	55741	183491
233	55979	183250
234	56223	183025
235	56460	182778
236	56696	182529
237	56933	182281
238	57159	182001
239	57401	181771
240	57645	181548
241	57878	181288
242	58121	181061
243	58346	180779
244	58588	180548
245	58820	180288
246	59063	180061
247	59308	179837
248	59548	179602
249	59782	179347
250	60015	179090
251	60253	178847
252	60475	178558
253	60718	178330
254	60951	178075
255	61176	177794
256	61399	177508
257	61651	177306
258	61878	177034
259	62108	176769
260	62350	176539
261	62580	176277
262	62822	176045
263	63087	175880
264	63315	175612
265	63543	175342
266	63769	175068
267	64016	174850
268	64250	174598
269	64480	174336
270	64713	174081
271	64949	173836
272	65176	173565
273	65404	173298
274	65635	173040
275	65967	173045
276	66215	172829
277	66460	172605
278	66690	172343
279	66923	172090
280	67167	171861
281	67395	171594
282	67630	171346
283	67857	171078
284	68098	170844
285	68325	170574
286	68558	170320
287	68790	170065
288	69019	169802
289	69251	169547
290	69481	169285
291	69717	169039
292	69983	168868
293	70218	168619
294	70444	168349
295	70683	168111
296	70934	167901
297	71168	167651
298	71392	167378
299	71682	167258
300	71980	167157
301	72223	166926
302	72449	166657
303	72680	166401
304	72910	166140
305	73154	165912
306	73408	165706
307	73643	165459
308	73871	165194
309	74120	164977
310	74354	164727
