iter	Passed	Remaining
0	171	171435
1	294	146937
2	345	114784
3	392	97696
4	439	87389
5	484	80285
6	533	75640
7	580	71955
8	626	68960
9	672	66531
10	716	64397
11	766	63131
12	817	62056
13	863	60795
14	909	59691
15	954	58674
16	998	57728
17	1044	56979
18	1089	56253
19	1140	55860
20	1197	55820
21	1246	55432
22	1295	55019
23	1356	55167
24	1402	54700
25	1451	54386
26	1502	54137
27	1550	53812
28	1597	53501
29	1643	53153
30	1692	52902
31	1736	52526
32	1785	52322
33	1833	52095
34	1881	51879
35	1928	51639
36	2008	52274
37	2055	52030
38	2111	52022
39	2158	51809
40	2210	51709
41	2258	51504
42	2306	51323
43	2355	51172
44	2401	50971
45	2449	50798
46	2497	50636
47	2549	50563
48	2596	50390
49	2644	50253
50	2693	50111
51	2738	49918
52	2786	49785
53	2832	49629
54	2880	49497
55	2926	49331
56	2971	49166
57	3018	49017
58	3065	48899
59	3114	48790
60	3167	48761
61	3214	48631
62	3259	48482
63	3306	48353
64	3351	48211
65	3396	48066
66	3439	47897
67	3489	47830
68	3535	47706
69	3582	47591
70	3629	47487
71	3677	47395
72	3724	47294
73	3770	47184
74	3817	47082
75	3863	46969
76	3910	46875
77	3955	46760
78	4006	46714
79	4057	46661
80	4104	46564
81	4150	46467
82	4200	46405
83	4251	46358
84	4302	46317
85	4352	46261
86	4398	46162
87	4448	46102
88	4486	45926
89	4535	45855
90	4583	45785
91	4631	45706
92	4677	45615
93	4724	45538
94	4764	45389
95	4814	45334
96	4859	45237
97	4906	45162
98	4957	45118
99	5005	45045
100	5060	45046
101	5110	44995
102	5160	44942
103	5208	44869
104	5255	44793
105	5307	44761
106	5359	44726
107	5408	44666
108	5460	44635
109	5512	44601
110	5559	44523
111	5608	44470
112	5656	44400
113	5704	44333
114	5751	44262
115	5804	44233
116	5853	44173
117	5900	44101
118	5954	44079
119	6008	44061
120	6055	43991
121	6103	43927
122	6150	43851
123	6197	43785
124	6245	43718
125	6299	43694
126	6345	43618
127	6390	43537
128	6436	43458
129	6479	43362
130	6512	43202
131	6558	43129
132	6605	43060
133	6652	42991
134	6700	42930
135	6747	42864
136	6794	42803
137	6841	42732
138	6887	42661
139	6933	42589
140	7006	42685
141	7054	42623
142	7127	42713
143	7175	42653
144	7247	42736
145	7294	42670
146	7344	42619
147	7392	42555
148	7441	42501
149	7513	42577
150	7560	42508
151	7605	42431
152	7650	42355
153	7695	42277
154	7742	42207
155	7794	42169
156	7851	42155
157	7898	42094
158	7947	42034
159	7997	41985
160	8045	41925
161	8090	41849
162	8137	41783
163	8183	41717
164	8230	41651
165	8306	41732
166	8352	41661
167	8399	41597
168	8453	41569
169	8500	41503
170	8548	41444
171	8596	41383
172	8647	41337
173	8695	41280
174	8744	41226
175	8794	41174
176	8844	41124
177	8892	41063
178	8939	41001
179	8986	40937
180	9043	40919
181	9094	40873
182	9142	40816
183	9190	40760
184	9234	40679
185	9284	40631
186	9325	40541
187	9374	40490
188	9415	40402
189	9461	40336
190	9512	40289
191	9561	40238
192	9608	40178
193	9655	40113
194	9703	40057
195	9749	39994
196	9792	39913
197	9864	39957
198	9908	39881
199	9957	39830
200	10004	39770
201	10050	39704
202	10100	39655
203	10148	39597
204	10195	39537
205	10244	39484
206	10292	39428
207	10338	39366
208	10387	39312
209	10436	39262
210	10485	39207
211	10529	39138
212	10578	39085
213	10624	39022
214	10665	38941
215	10709	38870
216	10776	38884
217	10826	38835
218	10875	38784
219	10920	38718
220	10969	38664
221	11014	38599
222	11061	38540
223	11108	38482
224	11157	38430
225	11208	38387
226	11253	38320
227	11301	38265
228	11350	38214
229	11398	38160
230	11445	38101
231	11496	38056
232	11545	38006
233	11593	37952
234	11639	37889
235	11684	37826
236	11730	37763
237	11778	37710
238	11827	37660
239	11875	37606
240	11923	37551
241	11963	37473
242	12013	37424
243	12061	37371
244	12105	37304
245	12156	37259
246	12207	37214
247	12257	37168
248	12306	37116
249	12353	37059
250	12400	37004
251	12461	36988
252	12504	36921
253	12551	36865
254	12602	36818
255	12649	36763
256	12694	36700
257	12743	36649
258	12796	36610
259	12848	36567
260	12898	36522
261	12973	36543
262	13017	36479
263	13070	36438
264	13121	36394
265	13165	36329
266	13209	36263
267	13257	36210
268	13304	36153
269	13348	36089
270	13394	36030
271	13443	35981
272	13496	35941
273	13542	35883
274	13593	35837
275	13640	35782
276	13687	35726
277	13735	35673
278	13786	35627
279	13834	35575
280	13883	35525
281	13931	35471
282	13975	35408
283	14024	35356
284	14075	35311
285	14112	35232
286	14159	35177
287	14205	35119
288	14251	35062
289	14299	35009
290	14350	34963
291	14395	34904
292	14438	34838
293	14489	34793
294	14533	34732
295	14583	34685
296	14633	34638
297	14675	34571
298	14724	34520
299	14773	34472
300	14823	34422
301	14870	34368
302	14919	34320
303	14962	34256
304	15009	34202
305	15057	34150
306	15100	34087
307	15161	34064
308	15214	34023
309	15270	33988
310	15322	33945
311	15374	33902
312	15425	33856
313	15477	33814
314	15521	33753
315	15573	33710
316	15624	33663
317	15675	33617
318	15727	33575
319	15781	33535
320	15827	33479
321	15874	33425
322	15925	33379
323	15969	33318
324	16015	33263
325	16067	33219
326	16114	33165
327	16161	33112
328	16204	33049
329	16246	32985
330	16293	32930
331	16339	32875
332	16383	32817
333	16430	32761
334	16478	32710
335	16525	32656
336	16571	32602
337	16616	32544
338	16659	32483
339	16708	32434
340	16758	32386
341	16802	32327
342	16849	32274
343	16892	32213
344	16939	32160
345	16982	32099
346	17029	32046
347	17075	31992
348	17123	31940
349	17171	31889
350	17216	31833
351	17258	31770
352	17302	31712
353	17353	31667
354	17399	31613
355	17449	31566
356	17494	31510
357	17536	31447
358	17579	31388
359	17627	31337
360	17671	31280
361	17715	31222
362	17760	31166
363	17815	31128
364	17862	31076
365	17909	31024
366	17959	30976
367	18034	30971
368	18085	30926
369	18130	30870
370	18175	30815
371	18224	30766
372	18272	30715
373	18323	30669
374	18371	30619
375	18417	30565
376	18459	30505
377	18511	30460
378	18559	30409
379	18601	30349
380	18656	30310
381	18707	30265
382	18759	30220
383	18806	30168
384	18848	30108
385	18891	30050
386	18933	29990
387	18980	29938
388	19031	29892
389	19076	29838
390	19119	29779
391	19167	29729
392	19220	29686
393	19269	29637
394	19316	29585
395	19363	29534
396	19409	29481
397	19458	29431
398	19509	29386
399	19552	29328
400	19599	29277
401	19646	29225
402	19697	29180
403	19747	29131
404	19791	29076
405	19839	29026
406	19890	28980
407	19940	28932
408	19987	28881
409	20040	28838
410	20089	28789
411	20137	28739
