iter	Passed	Remaining
0	244	244677
1	315	157622
2	345	114700
3	374	93275
4	403	80272
5	432	71608
6	462	65640
7	492	61118
8	521	57405
9	550	54540
10	578	52025
11	606	49949
12	634	48184
13	662	46682
14	690	45339
15	717	44154
16	746	43154
17	774	42272
18	806	41630
19	838	41108
20	868	40494
21	897	39914
22	927	39417
23	955	38868
24	983	38357
25	1011	37908
26	1040	37483
27	1069	37137
28	1099	36827
29	1128	36484
30	1156	36135
31	1191	36055
32	1219	35742
33	1247	35441
34	1276	35183
35	1304	34938
36	1333	34694
37	1361	34460
38	1389	34232
39	1417	34010
40	1446	33838
41	1474	33643
42	1503	33453
43	1531	33272
44	1558	33082
45	1587	32918
46	1616	32769
47	1643	32604
48	1672	32452
49	1699	32291
50	1727	32143
51	1755	31996
52	1783	31865
53	1812	31751
54	1839	31613
55	1867	31486
56	1895	31360
57	1923	31236
58	1950	31116
59	1978	30992
60	2005	30870
61	2032	30755
62	2060	30642
63	2088	30543
64	2115	30434
65	2143	30334
66	2171	30240
67	2199	30140
68	2227	30054
69	2255	29961
70	2284	29892
71	2312	29802
72	2341	29737
73	2371	29672
74	2400	29605
75	2428	29525
76	2455	29439
77	2484	29362
78	2511	29280
79	2538	29197
80	2566	29116
81	2593	29038
82	2621	28957
83	2649	28887
84	2676	28807
85	2703	28732
86	2731	28663
87	2758	28591
88	2787	28529
89	2815	28463
90	2843	28398
91	2870	28329
92	2898	28266
93	2926	28209
94	2953	28139
95	2981	28073
96	3008	28011
97	3036	27947
98	3064	27890
99	3091	27826
100	3119	27766
101	3146	27703
102	3173	27637
103	3228	27812
104	3255	27752
105	3282	27686
106	3310	27625
107	3337	27565
108	3366	27522
109	3395	27469
110	3422	27414
111	3451	27363
112	3478	27308
113	3507	27256
114	3534	27198
115	3562	27146
116	3589	27090
117	3616	27034
118	3643	26977
119	3671	26924
120	3699	26873
121	3726	26820
122	3754	26768
123	3783	26725
124	3811	26680
125	3839	26630
126	3866	26581
127	3895	26534
128	3925	26505
129	3953	26460
130	3981	26414
131	4009	26366
132	4037	26316
133	4065	26271
134	4094	26233
135	4124	26200
136	4151	26153
137	4179	26106
138	4207	26061
139	4235	26016
140	4263	25971
141	4291	25930
142	4319	25886
143	4348	25847
144	4376	25803
145	4405	25767
146	4433	25728
147	4462	25691
148	4491	25651
149	4518	25607
150	4547	25570
151	4575	25527
152	4603	25483
153	4631	25442
154	4660	25405
155	4688	25363
156	4716	25323
157	4743	25280
