iter	Passed	Remaining
0	24	24815
1	37	18837
2	49	16454
3	62	15536
4	74	14922
5	87	14529
6	100	14249
7	113	14062
8	127	14009
9	139	13857
10	152	13698
11	165	13613
12	195	14843
13	208	14673
14	221	14531
15	234	14431
16	247	14321
17	260	14238
18	274	14159
19	286	14048
20	299	13979
21	312	13900
22	325	13822
23	338	13756
24	350	13679
25	363	13608
26	376	13568
27	389	13505
28	402	13469
29	414	13416
30	427	13377
31	440	13327
32	454	13321
33	467	13276
34	480	13249
35	492	13197
36	505	13146
37	517	13112
38	530	13067
39	543	13036
40	556	13005
41	568	12973
42	581	12950
43	594	12910
44	606	12879
45	620	12859
46	632	12825
47	644	12787
48	656	12748
49	669	12726
50	682	12704
51	694	12669
52	708	12652
53	721	12640
54	734	12623
55	747	12605
56	761	12598
57	774	12580
58	787	12553
59	814	12759
60	826	12726
61	838	12689
62	852	12673
63	864	12645
64	877	12620
65	889	12591
66	902	12567
67	914	12540
68	927	12512
69	939	12485
70	952	12466
71	965	12449
72	978	12425
73	991	12404
74	1004	12389
75	1018	12380
76	1031	12359
77	1043	12340
78	1056	12318
79	1069	12293
80	1081	12273
81	1094	12255
82	1107	12233
83	1121	12225
84	1135	12219
85	1148	12210
86	1162	12200
87	1175	12182
88	1188	12164
89	1201	12151
90	1214	12127
91	1227	12114
92	1241	12110
93	1254	12090
94	1267	12070
95	1279	12050
96	1291	12026
97	1304	12010
98	1317	11989
99	1330	11972
100	1343	11959
101	1356	11941
102	1368	11921
103	1381	11899
104	1394	11886
105	1407	11867
106	1419	11848
107	1432	11832
108	1445	11819
109	1459	11807
110	1477	11832
111	1490	11815
112	1502	11796
113	1515	11782
114	1528	11761
115	1541	11745
116	1554	11732
117	1567	11715
118	1580	11704
119	1593	11683
120	1605	11665
121	1618	11650
122	1631	11635
123	1644	11618
124	1658	11606
125	1669	11580
126	1681	11561
127	1694	11544
128	1706	11525
129	1720	11513
130	1734	11502
131	1747	11489
132	1759	11472
133	1773	11460
134	1786	11447
135	1799	11433
136	1812	11417
137	1825	11405
138	1838	11389
139	1851	11371
140	1863	11354
141	1876	11336
142	1889	11321
143	1902	11307
144	1914	11289
145	1927	11275
146	1941	11266
147	1953	11246
148	1966	11233
149	1980	11221
150	1992	11202
151	2005	11187
152	2017	11169
153	2029	11151
154	2042	11135
155	2055	11120
156	2067	11102
157	2080	11087
158	2093	11073
159	2107	11063
160	2120	11051
161	2134	11039
162	2146	11024
163	2160	11011
164	2173	10999
165	2186	10983
166	2199	10969
167	2213	10961
168	2225	10945
169	2239	10931
170	2251	10916
171	2264	10900
172	2277	10885
173	2289	10870
174	2302	10856
175	2315	10839
176	2327	10822
177	2340	10807
178	2352	10790
179	2364	10772
180	2376	10755
181	2389	10738
182	2401	10721
183	2414	10707
184	2426	10691
185	2439	10676
186	2452	10662
187	2479	10707
188	2491	10691
189	2504	10676
190	2517	10665
191	2531	10655
192	2545	10642
193	2557	10626
194	2570	10609
195	2582	10593
196	2594	10577
197	2608	10564
198	2620	10549
199	2634	10536
200	2647	10523
201	2659	10507
202	2672	10491
203	2685	10476
204	2698	10463
205	2711	10449
206	2724	10436
207	2737	10422
208	2750	10409
209	2763	10395
210	2776	10381
211	2788	10365
212	2801	10351
213	2814	10335
214	2826	10320
215	2839	10305
216	2863	10331
217	2875	10315
218	2888	10300
219	2900	10283
220	2912	10267
221	2925	10253
222	2938	10237
223	2950	10221
224	2963	10206
225	2975	10191
226	2988	10175
227	3001	10162
228	3013	10145
229	3026	10131
230	3039	10117
231	3052	10103
232	3064	10089
233	3077	10073
234	3090	10059
235	3103	10047
236	3117	10037
237	3130	10021
238	3143	10008
239	3156	9994
240	3169	9983
241	3182	9967
242	3194	9952
243	3207	9938
244	3220	9923
245	3233	9909
246	3246	9897
247	3258	9881
248	3271	9868
249	3284	9853
250	3297	9839
251	3309	9824
252	3322	9811
253	3335	9796
254	3347	9780
255	3361	9767
256	3373	9752
257	3386	9739
258	3399	9726
259	3412	9711
260	3424	9696
261	3437	9682
262	3451	9671
263	3464	9657
264	3477	9644
