iter	Passed	Remaining
0	12	12369
1	25	12761
2	37	12559
3	51	12764
4	64	12870
5	77	12904
6	90	12858
7	103	12880
8	117	12911
9	130	12883
10	143	12933
11	156	12908
12	169	12899
13	182	12878
14	195	12861
15	208	12841
16	221	12804
17	234	12795
18	247	12768
19	260	12751
20	273	12728
21	286	12743
22	300	12773
23	313	12746
24	326	12717
25	338	12696
26	352	12699
27	365	12690
28	379	12707
29	392	12693
30	406	12694
31	419	12682
32	432	12677
33	445	12667
34	459	12655
35	470	12605
36	483	12579
37	496	12580
38	509	12561
39	523	12552
40	549	12841
41	562	12822
42	575	12802
43	588	12791
44	601	12768
45	614	12743
46	627	12725
47	640	12701
48	653	12675
49	666	12669
50	682	12699
51	695	12679
52	709	12679
53	723	12683
54	737	12666
55	750	12652
56	763	12630
57	776	12611
58	790	12605
59	803	12593
60	816	12571
61	829	12556
62	842	12532
63	855	12514
64	869	12502
65	882	12494
66	895	12467
67	907	12443
68	920	12421
69	933	12403
70	947	12395
71	959	12367
72	972	12351
73	985	12330
74	998	12309
75	1010	12287
76	1024	12274
77	1037	12263
78	1050	12244
79	1063	12224
80	1076	12211
81	1089	12200
82	1103	12189
83	1116	12175
84	1129	12155
85	1142	12144
86	1156	12136
87	1170	12127
88	1183	12116
89	1196	12097
90	1209	12077
91	1221	12059
92	1234	12040
93	1247	12020
94	1260	12005
95	1272	11985
96	1286	11978
97	1299	11965
98	1313	11952
99	1326	11939
100	1339	11927
101	1353	11915
102	1365	11894
103	1378	11874
104	1390	11854
105	1403	11840
106	1417	11826
107	1430	11811
108	1443	11795
109	1455	11776
110	1470	11774
111	1482	11753
112	1494	11733
113	1508	11720
114	1521	11707
115	1534	11694
116	1547	11680
117	1560	11664
118	1574	11653
119	1587	11638
120	1599	11621
121	1612	11601
122	1625	11588
123	1637	11571
124	1650	11553
125	1662	11534
126	1677	11528
127	1690	11518
128	1704	11506
129	1717	11491
130	1730	11478
131	1743	11462
132	1755	11444
133	1768	11429
134	1780	11410
135	1793	11395
136	1807	11385
137	1819	11366
138	1832	11351
139	1845	11337
140	1858	11322
141	1871	11305
142	1883	11290
143	1896	11272
144	1909	11259
145	1922	11247
146	1936	11234
147	1949	11221
148	1961	11204
149	1974	11191
150	1987	11176
151	2000	11160
152	2013	11146
153	2026	11130
154	2038	11114
155	2053	11110
156	2066	11093
157	2079	11081
158	2092	11066
159	2105	11056
160	2119	11044
161	2131	11025
162	2144	11013
163	2158	11000
164	2171	10988
165	2184	10975
166	2197	10959
167	2209	10942
168	2221	10925
169	2234	10910
170	2247	10897
171	2260	10883
172	2273	10866
173	2286	10853
174	2299	10842
175	2313	10830
176	2327	10821
177	2340	10810
178	2355	10805
179	2370	10797
180	2384	10788
181	2397	10776
182	2411	10764
183	2424	10752
184	2437	10736
185	2450	10722
186	2463	10710
187	2477	10701
188	2490	10687
189	2503	10673
190	2517	10662
191	2530	10649
192	2543	10634
193	2556	10621
194	2569	10606
195	2582	10594
196	2596	10583
197	2609	10570
198	2622	10556
199	2635	10541
200	2649	10530
201	2663	10521
202	2676	10509
203	2689	10494
204	2701	10476
205	2714	10462
206	2728	10451
207	2742	10441
208	2755	10427
209	2768	10415
210	2781	10401
211	2804	10422
212	2817	10409
213	2831	10398
214	2844	10385
215	2857	10370
216	2870	10355
217	2882	10339
218	2895	10326
219	2908	10311
220	2921	10297
221	2933	10279
222	2945	10264
223	2958	10250
224	2970	10232
225	2983	10217
226	2996	10203
227	3009	10190
228	3021	10174
229	3034	10160
230	3047	10146
231	3061	10135
232	3074	10121
233	3087	10106
234	3100	10092
235	3113	10078
236	3125	10062
237	3138	10049
238	3151	10034
239	3164	10022
240	3178	10008
241	3190	9994
242	3204	9981
243	3216	9967
244	3231	9957
245	3244	9943
246	3256	9929
247	3269	9912
248	3282	9899
249	3294	9882
250	3306	9866
251	3319	9853
252	3332	9840
253	3344	9824
254	3357	9809
255	3370	9795
256	3383	9780
257	3396	9767
258	3408	9753
259	3421	9738
260	3434	9724
261	3446	9709
262	3459	9693
263	3472	9679
264	3484	9664
265	3497	9651
266	3510	9637
267	3523	9623
268	3536	9610
269	3549	9596
270	3561	9580
271	3574	9567
272	3587	9553
273	3599	9538
274	3612	9524
275	3625	9510
276	3638	9497
277	3651	9482
278	3664	9469
279	3677	9455
280	3689	9440
281	3702	9426
282	3715	9413
283	3728	9399
284	3740	9384
285	3753	9371
286	3766	9356
287	3778	9341
288	3791	9327
289	3804	9313
290	3818	9302
291	3831	9289
292	3845	9277
293	3858	9265
294	3873	9257
295	3888	9248
296	3902	9237
297	3917	9227
298	3930	9215
299	3944	9204
300	3958	9191
301	3971	9179
302	3984	9165
303	3997	9152
304	4009	9137
305	4022	9123
306	4036	9110
307	4049	9098
308	4064	9089
309	4078	9077
310	4091	9064
311	4105	9052
312	4118	9039
313	4131	9026
314	4145	9014
315	4159	9002
316	4173	8992
317	4186	8978
318	4199	8965
319	4212	8950
320	4225	8937
321	4238	8923
322	4250	8909
323	4263	8896
324	4277	8883
325	4290	8871
326	4304	8858
327	4317	8844
328	4330	8832
329	4344	8819
330	4357	8806
331	4369	8791
332	4382	8777
333	4395	8764
334	4410	8755
335	4424	8742
336	4436	8728
337	4449	8715
338	4462	8701
339	4475	8687
340	4488	8674
341	4502	8662
342	4515	8649
343	4529	8636
344	4542	8623
345	4555	8610
346	4568	8596
347	4583	8587
348	4597	8576
349	4610	8562
350	4623	8549
351	4636	8536
352	4650	8523
353	4662	8509
354	4676	8496
355	4689	8483
356	4702	8470
357	4716	8457
358	4729	8444
359	4742	8431
360	4756	8418
361	4769	8405
362	4781	8391
363	4796	8380
364	4810	8369
365	4823	8356
366	4837	8343
367	4850	8329
368	4862	8315
369	4875	8301
370	4887	8287
371	4901	8274
372	4914	8260
373	4927	8247
374	4940	8234
375	4953	8220
376	4966	8207
377	4979	8194
378	4993	8182
379	5009	8172
380	5021	8158
381	5035	8146
382	5049	8134
383	5062	8120
384	5076	8108
385	5090	8096
386	5103	8083
387	5116	8070
388	5129	8057
389	5143	8044
390	5156	8031
391	5169	8017
392	5182	8004
393	5195	7990
394	5208	7978
395	5222	7965
396	5235	7952
397	5249	7939
398	5262	7926
399	5275	7912
400	5288	7899
401	5301	7886
402	5313	7872
403	5326	7858
404	5340	7845
405	5352	7831
406	5365	7817
407	5378	7804
408	5392	7791
409	5405	7778
410	5418	7765
411	5431	7752
412	5445	7739
413	5459	7727
414	5471	7713
415	5484	7699
416	5497	7686
417	5511	7673
418	5524	7660
419	5538	7647
420	5551	7635
421	5565	7622
422	5578	7609
423	5592	7597
424	5605	7584
425	5618	7570
426	5631	7556
427	5644	7544
428	5658	7531
429	5683	7534
430	5697	7521
431	5710	7507
432	5723	7494
433	5736	7480
434	5749	7467
435	5762	7454
436	5775	7441
437	5788	7427
438	5801	7413
439	5813	7399
440	5827	7386
441	5840	7373
442	5854	7360
443	5867	7347
444	5880	7334
445	5893	7321
446	5906	7307
447	5935	7313
448	5948	7300
449	5962	7287
450	5975	7274
451	5988	7260
452	6001	7247
453	6016	7236
454	6030	7223
455	6043	7210
456	6057	7197
457	6071	7185
458	6085	7172
459	6098	7159
460	6111	7145
461	6123	7131
462	6137	7118
463	6150	7105
464	6164	7092
465	6178	7079
466	6191	7066
467	6205	7053
468	6218	7041
469	6232	7027
470	6245	7014
471	6258	7001
472	6271	6987
473	6284	6973
474	6297	6960
475	6311	6947
476	6323	6933
477	6337	6920
478	6349	6906
479	6363	6893
480	6376	6880
481	6389	6867
482	6402	6853
483	6416	6840
484	6429	6826
485	6441	6812
486	6454	6798
487	6467	6785
488	6480	6772
489	6493	6758
490	6505	6744
491	6519	6731
492	6532	6718
493	6545	6704
494	6558	6691
495	6572	6678
496	6584	6664
497	6597	6650
498	6610	6637
499	6623	6623
500	6637	6610
501	6650	6597
502	6663	6584
503	6676	6570
504	6689	6557
505	6702	6543
506	6715	6530
507	6728	6516
508	6741	6503
509	6754	6489
510	6799	6506
511	6812	6493
512	6825	6479
513	6838	6465
514	6850	6451
515	6863	6438
516	6876	6424
517	6889	6410
518	6902	6397
519	6916	6384
520	6929	6370
521	6942	6357
522	6955	6343
523	6968	6330
524	6982	6317
525	6995	6303
526	7008	6290
527	7020	6276
528	7033	6262
529	7046	6248
530	7059	6235
531	7073	6222
532	7087	6209
533	7100	6196
534	7113	6182
535	7126	6169
536	7139	6155
537	7151	6141
538	7164	6127
539	7177	6114
540	7191	6101
541	7204	6088
542	7217	6074
543	7230	6060
544	7243	6047
545	7257	6034
546	7270	6020
547	7282	6006
548	7296	5993
549	7309	5980
550	7322	5966
551	7335	5953
552	7348	5939
553	7361	5926
554	7373	5912
555	7386	5898
556	7399	5885
557	7412	5871
558	7425	5857
559	7438	5844
560	7451	5831
561	7464	5817
562	7477	5804
563	7491	5790
564	7504	5777
565	7517	5764
566	7531	5751
567	7544	5738
568	7557	5724
569	7570	5711
570	7583	5697
571	7596	5684
572	7609	5670
573	7623	5657
574	7636	5644
575	7651	5632
576	7666	5620
577	7694	5618
578	7708	5604
579	7721	5591
580	7736	5579
581	7750	5566
582	7763	5552
583	7776	5539
584	7790	5526
585	7803	5512
586	7816	5499
587	7829	5485
588	7842	5472
589	7855	5458
590	7868	5445
591	7881	5431
592	7894	5418
593	7908	5405
594	7921	5391
595	7934	5378
596	7948	5365
597	7961	5352
598	7974	5338
599	7986	5324
600	7999	5311
601	8013	5297
602	8026	5284
603	8039	5271
604	8053	5258
605	8066	5244
606	8080	5231
607	8092	5217
608	8105	5204
609	8119	5191
610	8132	5177
611	8146	5164
612	8159	5150
613	8172	5137
614	8185	5124
615	8199	5111
616	8212	5098
617	8225	5084
618	8238	5070
619	8251	5057
620	8263	5043
621	8275	5029
622	8289	5016
623	8302	5002
624	8315	4989
625	8327	4975
626	8340	4962
627	8353	4948
628	8366	4934
629	8379	4921
630	8393	4908
631	8406	4894
632	8418	4880
633	8432	4867
634	8444	4853
635	8457	4840
636	8471	4827
637	8484	4813
638	8496	4800
639	8508	4786
640	8522	4772
641	8536	4759
642	8548	4746
643	8571	4738
644	8584	4725
645	8597	4711
646	8611	4698
647	8624	4685
648	8638	4671
649	8651	4658
650	8664	4644
651	8677	4631
652	8690	4618
653	8704	4605
654	8717	4591
655	8731	4578
656	8744	4564
657	8756	4551
658	8769	4538
659	8783	4524
660	8797	4511
661	8810	4498
662	8822	4484
663	8835	4471
664	8848	4457
665	8862	4444
666	8875	4431
667	8888	4417
668	8900	4403
669	8914	4390
670	8926	4376
671	8939	4363
672	8953	4350
673	8966	4336
674	8978	4322
675	8990	4309
676	9004	4295
677	9017	4282
678	9030	4269
679	9053	4260
680	9066	4247
681	9080	4233
682	9093	4220
683	9106	4207
684	9119	4193
685	9133	4180
686	9146	4167
687	9159	4153
688	9172	4140
689	9186	4127
690	9200	4114
691	9213	4100
692	9226	4087
693	9239	4073
694	9251	4060
695	9264	4046
696	9276	4032
697	9289	4019
698	9302	4005
699	9314	3991
700	9327	3978
701	9339	3964
702	9351	3950
703	9364	3937
704	9377	3923
705	9389	3910
706	9402	3896
707	9416	3883
708	9430	3870
709	9443	3857
710	9455	3843
711	9468	3830
712	9481	3816
713	9495	3803
714	9507	3789
715	9520	3776
716	9534	3763
717	9546	3749
718	9559	3736
719	9572	3722
720	9586	3709
721	9599	3696
722	9612	3682
723	9624	3669
724	9637	3655
725	9650	3642
726	9663	3628
727	9676	3615
728	9689	3602
729	9703	3588
730	9717	3576
731	9730	3562
732	9743	3549
733	9756	3535
734	9768	3521
735	9781	3508
736	9794	3495
737	9806	3481
738	9820	3468
739	9833	3455
740	9846	3441
741	9858	3428
742	9871	3414
743	9884	3401
744	9896	3387
745	9909	3373
746	9922	3360
747	9935	3347
748	9947	3333
749	9961	3320
750	9973	3306
751	9986	3293
752	9999	3279
753	10012	3266
754	10026	3253
755	10040	3240
756	10053	3227
757	10066	3213
758	10079	3200
759	10093	3187
760	10106	3173
761	10118	3160
762	10131	3146
763	10144	3133
764	10157	3120
765	10171	3107
766	10184	3093
767	10197	3080
768	10210	3067
769	10223	3053
770	10236	3040
771	10248	3026
772	10261	3013
773	10275	3000
774	10288	2987
775	10303	2974
776	10317	2960
777	10329	2947
778	10342	2934
779	10355	2920
780	10368	2907
781	10381	2894
782	10394	2880
783	10408	2867
784	10421	2854
785	10434	2840
786	10447	2827
787	10461	2814
788	10473	2801
789	10487	2787
790	10500	2774
791	10512	2760
792	10525	2747
793	10538	2734
794	10551	2720
795	10564	2707
796	10577	2694
797	10590	2680
798	10603	2667
799	10616	2654
800	10629	2640
801	10642	2627
802	10656	2614
803	10669	2601
804	10682	2587
805	10694	2574
806	10708	2561
807	10721	2547
808	10734	2534
809	10747	2520
810	10760	2507
811	10774	2494
812	10787	2481
813	10800	2467
814	10813	2454
815	10827	2441
816	10839	2427
817	10852	2414
818	10865	2401
819	10878	2388
820	10893	2375
821	10905	2361
822	10918	2348
823	10932	2335
824	10945	2321
825	10958	2308
826	10971	2295
827	10983	2281
828	10997	2268
829	11010	2255
830	11024	2242
831	11037	2228
832	11050	2215
833	11062	2201
834	11075	2188
835	11088	2175
836	11101	2161
837	11114	2148
838	11127	2135
839	11140	2121
840	11152	2108
841	11166	2095
842	11180	2082
843	11193	2068
844	11206	2055
845	11219	2042
846	11232	2028
847	11244	2015
848	11258	2002
849	11271	1989
850	11284	1975
851	11297	1962
852	11310	1949
853	11323	1935
854	11335	1922
855	11348	1909
856	11361	1895
857	11374	1882
858	11387	1869
859	11400	1855
860	11413	1842
861	11426	1829
862	11439	1815
863	11452	1802
864	11465	1789
865	11479	1776
866	11492	1762
867	11506	1749
868	11519	1736
869	11532	1723
870	11545	1709
871	11558	1696
872	11571	1683
873	11584	1670
874	11598	1656
875	11608	1643
876	11620	1629
877	11633	1616
878	11646	1603
879	11659	1589
880	11673	1576
881	11686	1563
882	11700	1550
883	11712	1536
884	11725	1523
885	11738	1510
886	11751	1497
887	11764	1483
888	11777	1470
889	11790	1457
890	11802	1443
891	11816	1430
892	11829	1417
893	11841	1404
894	11854	1390
895	11867	1377
896	11879	1364
897	11892	1350
898	11906	1337
899	11920	1324
900	11932	1311
901	11946	1297
902	11959	1284
903	11971	1271
904	11984	1258
905	11998	1244
906	12011	1231
907	12024	1218
908	12037	1205
909	12050	1191
910	12065	1178
911	12078	1165
912	12091	1152
913	12103	1138
914	12117	1125
915	12130	1112
916	12143	1099
917	12156	1085
918	12169	1072
919	12182	1059
920	12195	1046
921	12208	1032
922	12220	1019
923	12234	1006
924	12246	992
925	12260	979
926	12273	966
927	12285	953
928	12298	939
929	12310	926
930	12324	913
931	12337	900
932	12350	886
933	12363	873
934	12377	860
935	12390	847
936	12403	833
937	12416	820
938	12429	807
939	12442	794
940	12455	780
941	12468	767
942	12481	754
943	12493	741
944	12507	727
945	12519	714
946	12542	701
947	12557	688
948	12570	675
949	12584	662
950	12597	649
951	12610	635
952	12624	622
953	12636	609
954	12650	596
955	12679	583
956	12693	570
957	12707	557
958	12722	543
959	12737	530
960	12749	517
961	12763	504
962	12776	490
963	12789	477
964	12801	464
965	12814	451
966	12827	437
967	12840	424
968	12853	411
969	12866	397
970	12879	384
971	12892	371
972	12905	358
973	12917	344
974	12930	331
975	12942	318
976	12955	304
977	12968	291
978	12982	278
979	12995	265
980	13008	251
981	13022	238
982	13034	225
983	13047	212
984	13061	198
985	13073	185
986	13086	172
987	13098	159
988	13110	145
989	13123	132
990	13136	119
991	13149	106
992	13162	92
993	13174	79
994	13187	66
995	13200	53
996	13213	39
997	13226	26
998	13239	13
999	13267	0
