iter	Passed	Remaining
0	12	12165
1	25	12517
2	38	12681
3	51	12771
4	64	12830
5	77	12858
6	92	13114
7	105	13061
8	118	13077
9	132	13100
10	145	13088
11	158	13053
12	171	13015
13	184	12997
14	197	12962
15	210	12917
16	222	12860
17	235	12834
18	248	12821
19	261	12792
20	273	12760
21	286	12748
22	299	12736
23	312	12696
24	325	12675
25	337	12648
26	350	12648
27	364	12639
28	376	12603
29	389	12590
30	403	12601
31	416	12600
32	429	12599
33	442	12577
34	455	12559
35	468	12532
36	480	12500
37	493	12482
38	506	12484
39	520	12496
40	533	12481
41	546	12465
42	560	12471
43	573	12461
44	586	12447
45	599	12431
46	612	12418
47	624	12389
48	637	12370
49	650	12366
50	663	12348
51	676	12325
52	689	12316
53	702	12298
54	714	12282
55	729	12294
56	741	12274
57	754	12253
58	767	12243
59	779	12217
60	793	12207
61	805	12191
62	818	12174
63	831	12157
64	844	12149
65	857	12134
66	870	12125
67	883	12103
68	895	12081
69	909	12080
70	922	12069
71	935	12062
72	948	12040
73	961	12037
74	975	12033
75	987	12011
76	1000	11994
77	1013	11981
78	1026	11962
79	1038	11945
80	1051	11931
81	1064	11917
82	1077	11901
83	1090	11889
84	1103	11873
85	1115	11855
86	1128	11845
87	1141	11828
88	1153	11807
89	1166	11796
90	1179	11784
91	1193	11776
92	1205	11760
93	1218	11741
94	1231	11728
95	1242	11703
96	1255	11688
97	1268	11675
98	1280	11657
99	1293	11642
100	1306	11626
101	1318	11607
102	1330	11587
103	1343	11576
104	1355	11557
105	1368	11542
106	1381	11525
107	1393	11511
108	1406	11500
109	1419	11488
110	1432	11472
111	1444	11456
112	1457	11444
113	1471	11436
114	1485	11429
115	1497	11413
116	1511	11409
117	1524	11395
118	1537	11382
119	1550	11371
120	1564	11367
121	1576	11348
122	1589	11336
123	1603	11324
124	1616	11314
125	1629	11304
126	1641	11284
127	1654	11269
128	1667	11261
129	1680	11243
130	1693	11232
131	1705	11215
132	1718	11203
133	1731	11192
134	1744	11177
135	1756	11161
136	1769	11146
137	1782	11133
138	1795	11119
139	1807	11102
140	1820	11091
141	1833	11079
142	1846	11063
143	1858	11049
144	1871	11034
145	1883	11017
146	1896	11003
147	1908	10988
148	1921	10974
149	1934	10963
150	1948	10952
151	1961	10943
152	1974	10931
153	1987	10918
154	2000	10905
155	2013	10892
156	2026	10880
157	2039	10869
158	2052	10855
159	2064	10840
160	2077	10828
161	2090	10815
162	2104	10805
163	2116	10789
164	2129	10775
165	2142	10762
166	2155	10752
167	2164	10716
168	2176	10699
169	2188	10686
170	2201	10672
171	2213	10657
172	2226	10643
173	2239	10629
174	2251	10616
175	2264	10601
176	2276	10585
177	2288	10569
178	2301	10556
179	2314	10543
180	2326	10527
181	2339	10517
182	2352	10502
183	2365	10490
184	2378	10476
185	2390	10460
186	2402	10446
187	2415	10432
188	2428	10418
189	2440	10405
190	2453	10391
191	2465	10377
192	2478	10364
193	2491	10349
194	2505	10341
195	2517	10327
196	2531	10317
197	2543	10304
198	2556	10290
199	2568	10275
200	2581	10261
201	2593	10245
202	2605	10230
203	2618	10218
204	2631	10203
205	2643	10189
206	2656	10177
207	2669	10165
208	2681	10150
209	2695	10139
210	2707	10126
211	2721	10114
212	2735	10107
213	2749	10098
214	2762	10085
215	2775	10072
216	2787	10059
217	2800	10045
218	2813	10032
219	2826	10020
220	2838	10005
221	2850	9990
222	2863	9977
223	2876	9966
224	2889	9951
225	2902	9939
226	2915	9926
227	2927	9913
228	2940	9900
229	2953	9888
230	2966	9875
231	2979	9863
232	2992	9852
233	3005	9838
