iter	Passed	Remaining
0	13	13716
1	28	14134
2	42	14271
3	57	14222
4	71	14193
5	86	14273
6	101	14467
7	116	14405
8	130	14371
9	145	14411
10	160	14454
11	175	14453
12	190	14446
13	205	14477
14	220	14455
15	234	14446
16	249	14406
17	262	14344
18	276	14294
19	291	14283
20	305	14256
21	320	14237
22	334	14199
23	348	14192
24	363	14181
25	378	14173
26	393	14180
27	409	14222
28	424	14222
29	439	14205
30	453	14188
31	468	14164
32	482	14150
33	497	14130
34	512	14133
35	528	14141
36	545	14198
37	560	14184
38	575	14175
39	590	14161
40	605	14155
41	619	14140
42	635	14135
43	650	14135
44	665	14123
45	681	14133
46	697	14134
47	712	14125
48	728	14146
49	743	14134
50	758	14119
51	773	14100
52	788	14082
53	802	14063
54	817	14038
55	831	14014
56	846	13999
57	860	13979
58	875	13965
59	890	13947
60	905	13934
61	920	13924
62	935	13916
63	950	13903
64	965	13885
65	980	13868
66	994	13850
67	1009	13830
68	1024	13818
69	1039	13812
70	1053	13791
71	1068	13772
72	1083	13755
73	1098	13741
74	1120	13815
75	1134	13799
76	1150	13786
77	1164	13769
78	1179	13750
79	1194	13740
80	1209	13726
81	1224	13711
82	1239	13693
83	1254	13679
84	1268	13658
85	1283	13640
86	1298	13626
87	1313	13612
88	1328	13603
89	1343	13588
90	1358	13571
91	1373	13560
92	1388	13540
93	1403	13523
94	1417	13503
95	1432	13490
96	1447	13476
97	1462	13460
98	1477	13443
99	1491	13424
100	1506	13409
101	1520	13389
102	1536	13380
103	1551	13363
104	1565	13347
105	1580	13326
106	1595	13312
107	1610	13299
108	1624	13283
109	1639	13268
110	1656	13264
111	1671	13253
112	1687	13245
113	1702	13229
114	1717	13214
115	1732	13200
116	1747	13186
117	1763	13181
118	1778	13169
119	1793	13154
120	1807	13133
121	1822	13118
122	1837	13104
123	1853	13093
124	1867	13075
125	1882	13057
126	1897	13043
127	1914	13040
128	1929	13029
129	1945	13016
130	1961	13008
131	1976	12998
132	1991	12983
133	2007	12976
134	2023	12967
135	2039	12958
136	2055	12946
137	2072	12948
138	2090	12950
139	2108	12952
140	2124	12940
141	2139	12924
142	2153	12908
143	2168	12892
144	2201	12981
145	2215	12959
146	2230	12941
147	2244	12922
148	2259	12907
149	2274	12889
150	2289	12873
151	2303	12852
152	2319	12840
153	2333	12819
154	2348	12802
155	2364	12792
156	2379	12776
157	2395	12765
158	2411	12755
159	2427	12744
160	2442	12727
161	2458	12716
162	2473	12701
163	2490	12696
164	2507	12690
165	2523	12678
166	2537	12659
167	2552	12641
168	2567	12625
169	2583	12612
170	2598	12596
171	2613	12579
172	2627	12562
173	2642	12545
174	2657	12528
175	2673	12515
176	2688	12499
177	2703	12486
178	2718	12469
179	2733	12453
180	2748	12436
181	2762	12418
182	2777	12400
183	2792	12385
184	2807	12367
185	2822	12351
186	2837	12334
187	2851	12317
188	2866	12301
189	2881	12284
190	2896	12269
191	2911	12252
192	2926	12235
193	2941	12219
194	2956	12203
195	2971	12188
196	2985	12169
197	3000	12154
198	3015	12137
199	3030	12121
200	3044	12103
201	3059	12085
202	3074	12068
203	3089	12056
204	3104	12041
205	3119	12025
206	3134	12009
207	3149	11990
208	3164	11974
209	3178	11958
210	3194	11944
211	3208	11926
212	3223	11909
213	3237	11891
214	3251	11873
215	3267	11858
216	3282	11842
217	3296	11826
218	3311	11809
219	3326	11793
220	3341	11777
221	3355	11761
222	3370	11743
223	3385	11726
224	3400	11712
225	3415	11696
226	3430	11680
227	3444	11663
228	3459	11648
229	3474	11631
230	3489	11615
231	3503	11598
232	3518	11582
233	3533	11566
234	3548	11551
235	3563	11536
236	3578	11520
237	3593	11504
238	3608	11488
239	3623	11474
240	3638	11457
241	3653	11443
242	3670	11433
243	3687	11423
244	3702	11409
245	3717	11392
246	3732	11377
247	3747	11363
248	3762	11347
249	3777	11331
250	3793	11320
251	3808	11305
252	3823	11288
253	3838	11272
254	3852	11255
255	3867	11238
256	3881	11222
257	3896	11206
258	3911	11189
259	3926	11174
260	3941	11159
261	3956	11145
262	3971	11130
263	3986	11113
264	4001	11098
265	4015	11081
266	4030	11065
267	4045	11049
268	4060	11034
269	4075	11018
270	4090	11002
271	4104	10986
272	4119	10969
273	4134	10953
274	4149	10940
275	4165	10926
276	4179	10909
277	4195	10895
278	4209	10878
279	4224	10862
280	4239	10846
281	4253	10830
282	4270	10819
283	4285	10803
284	4299	10787
285	4314	10771
286	4329	10755
287	4344	10739
288	4358	10723
289	4373	10707
290	4388	10691
291	4403	10675
292	4418	10662
293	4433	10645
294	4447	10629
295	4462	10614
296	4477	10598
297	4492	10582
298	4506	10565
299	4521	10549
300	4536	10534
301	4551	10518
302	4565	10502
303	4581	10488
304	4596	10472
305	4610	10457
306	4625	10441
307	4640	10426
308	4655	10411
309	4670	10396
310	4686	10381
311	4701	10366
312	4715	10350
313	4730	10335
314	4745	10319
315	4760	10304
316	4774	10287
317	4789	10272
318	4805	10257
319	4819	10242
320	4834	10227
321	4850	10213
322	4866	10200
323	4880	10183
324	4895	10168
325	4911	10153
326	4925	10137
327	4940	10122
328	4954	10105
329	4969	10088
330	4983	10073
331	4998	10058
332	5022	10059
333	5036	10043
334	5051	10027
335	5066	10011
336	5080	9995
337	5095	9980
338	5110	9965
339	5125	9949
340	5144	9942
341	5159	9926
342	5173	9910
343	5189	9895
344	5203	9879
345	5217	9862
346	5232	9846
347	5247	9831
348	5262	9815
349	5277	9801
350	5291	9784
351	5306	9769
352	5320	9752
353	5335	9737
354	5351	9722
355	5365	9706
356	5394	9715
357	5408	9699
358	5423	9684
359	5439	9670
360	5455	9656
361	5469	9640
362	5484	9624
363	5499	9609
364	5515	9594
365	5530	9579
366	5544	9563
367	5559	9547
368	5574	9531
369	5588	9515
370	5603	9500
371	5617	9484
372	5632	9468
373	5648	9453
374	5663	9439
375	5679	9425
376	5694	9409
377	5708	9393
378	5723	9378
379	5738	9362
380	5753	9347
381	5768	9332
382	5783	9317
383	5798	9302
384	5813	9287
385	5829	9272
386	5843	9256
387	5858	9241
388	5873	9225
389	5887	9208
390	5902	9193
391	5916	9177
392	5932	9162
393	5946	9146
394	5961	9130
395	5975	9114
396	5990	9099
397	6005	9083
398	6020	9068
399	6035	9053
400	6051	9039
401	6065	9023
402	6080	9007
403	6095	8992
404	6110	8977
405	6125	8961
406	6140	8947
407	6155	8931
408	6170	8915
409	6184	8899
410	6199	8884
411	6214	8868
412	6228	8852
413	6244	8838
414	6259	8822
415	6272	8806
416	6287	8791
417	6302	8775
418	6317	8760
419	6332	8744
420	6347	8729
421	6362	8714
422	6376	8698
423	6391	8682
424	6406	8667
425	6421	8652
426	6436	8637
427	6451	8622
428	6467	8607
429	6481	8591
430	6495	8575
431	6510	8560
432	6525	8544
433	6540	8529
434	6555	8514
435	6570	8499
436	6585	8484
437	6600	8468
438	6614	8453
439	6630	8439
440	6645	8423
441	6660	8408
442	6675	8393
443	6690	8378
444	6706	8363
445	6720	8348
446	6735	8332
447	6750	8317
448	6765	8301
449	6779	8286
450	6794	8270
451	6809	8255
452	6824	8240
453	6838	8224
454	6853	8208
455	6868	8193
456	6883	8178
457	6897	8162
458	6912	8147
459	6928	8133
460	6943	8117
461	6958	8103
462	6973	8087
463	6987	8071
464	7002	8056
465	7017	8041
466	7032	8025
467	7047	8011
468	7062	7995
469	7077	7981
470	7092	7965
471	7107	7950
472	7122	7935
473	7136	7919
474	7152	7905
475	7167	7889
476	7182	7874
477	7196	7859
478	7212	7844
479	7227	7830
480	7243	7815
481	7258	7800
482	7272	7784
483	7287	7769
484	7302	7754
485	7317	7739
486	7332	7723
487	7347	7708
488	7361	7693
489	7376	7677
490	7390	7661
491	7405	7646
492	7420	7631
493	7435	7615
494	7450	7600
495	7465	7585
496	7480	7570
497	7494	7554
498	7509	7539
499	7523	7523
500	7538	7508
501	7553	7493
502	7568	7478
503	7583	7462
504	7598	7447
505	7613	7432
506	7628	7418
507	7643	7402
508	7658	7388
509	7674	7373
510	7689	7358
511	7704	7343
512	7719	7328
513	7735	7313
514	7750	7298
515	7766	7284
516	7781	7269
517	7797	7255
518	7813	7240
519	7827	7225
520	7842	7210
521	7857	7195
522	7872	7179
523	7886	7164
524	7901	7149
525	7916	7133
526	7931	7118
527	7945	7103
528	7960	7087
529	7974	7072
530	7989	7056
531	8004	7041
532	8019	7026
533	8034	7011
534	8049	6996
535	8064	6981
536	8079	6966
537	8094	6951
538	8109	6935
539	8123	6920
540	8138	6904
541	8153	6889
542	8167	6874
543	8182	6858
544	8196	6843
545	8211	6827
546	8226	6812
547	8241	6797
548	8256	6782
549	8271	6767
550	8285	6751
551	8300	6736
552	8315	6721
553	8329	6706
554	8345	6691
555	8359	6675
556	8374	6660
557	8389	6645
558	8404	6630
559	8419	6615
560	8434	6600
561	8449	6585
562	8464	6569
563	8478	6554
564	8493	6539
565	8507	6523
566	8522	6508
567	8537	6493
568	8552	6478
569	8566	6462
570	8581	6447
571	8595	6431
572	8610	6416
573	8625	6401
574	8641	6386
575	8655	6371
576	8670	6356
577	8685	6341
578	8700	6326
579	8715	6311
580	8729	6295
581	8744	6280
582	8759	6265
583	8774	6250
584	8788	6234
585	8804	6219
586	8818	6204
587	8833	6189
588	8847	6173
589	8862	6158
590	8877	6143
591	8892	6128
592	8906	6113
593	8921	6097
594	8935	6082
595	8950	6067
596	8965	6052
597	8980	6037
598	8996	6022
599	9010	6006
600	9024	5991
601	9039	5976
602	9053	5960
603	9068	5945
604	9083	5930
605	9098	5915
606	9113	5900
607	9127	5884
608	9142	5869
609	9156	5854
610	9171	5839
611	9186	5823
612	9200	5808
613	9215	5793
614	9229	5777
615	9244	5762
616	9259	5747
617	9273	5732
618	9288	5717
619	9302	5701
620	9317	5686
621	9332	5671
622	9347	5656
623	9362	5641
624	9378	5626
625	9392	5611
626	9407	5596
627	9421	5581
628	9436	5565
629	9450	5550
630	9465	5535
631	9480	5520
632	9495	5505
633	9509	5489
634	9524	5474
635	9538	5459
636	9553	5443
637	9568	5429
638	9584	5414
639	9599	5399
640	9615	5385
641	9630	5370
642	9645	5355
643	9660	5340
644	9675	5325
645	9690	5310
646	9705	5295
