iter	Passed	Remaining
0	12	12818
1	26	13405
2	40	13583
3	56	14015
4	71	14218
5	86	14256
6	100	14196
7	114	14157
8	128	14134
9	142	14123
10	157	14170
11	174	14334
12	190	14457
13	205	14452
14	219	14422
15	234	14395
16	248	14372
17	263	14386
18	278	14370
19	293	14366
20	307	14347
21	322	14330
22	336	14300
23	351	14283
24	365	14267
25	380	14261
26	395	14254
27	410	14253
28	425	14252
29	440	14251
30	455	14237
31	470	14221
32	485	14213
33	500	14211
34	515	14225
35	530	14215
36	547	14242
37	561	14226
38	577	14224
39	592	14218
40	608	14222
41	623	14216
42	638	14214
43	654	14211
44	668	14189
45	683	14170
46	698	14153
47	713	14143
48	727	14121
49	742	14101
50	756	14084
51	771	14063
52	787	14065
53	801	14047
54	816	14025
55	831	14016
56	846	14009
57	862	14005
58	876	13985
59	892	13975
60	907	13971
61	922	13959
62	937	13947
63	952	13932
64	967	13911
65	981	13891
66	995	13869
67	1010	13846
68	1024	13826
69	1039	13815
70	1054	13798
71	1069	13789
72	1084	13771
73	1099	13754
74	1115	13757
75	1131	13753
76	1145	13734
77	1160	13715
78	1174	13696
79	1189	13680
80	1204	13661
81	1219	13647
82	1233	13632
83	1248	13609
84	1262	13595
85	1277	13575
86	1292	13560
87	1306	13541
88	1321	13531
89	1336	13513
90	1351	13501
91	1366	13484
92	1381	13470
93	1396	13459
94	1411	13447
95	1426	13433
96	1441	13417
97	1456	13402
98	1471	13389
99	1486	13374
100	1501	13361
101	1516	13347
102	1530	13331
103	1546	13321
104	1560	13305
105	1575	13291
106	1591	13278
107	1605	13263
108	1621	13251
109	1635	13232
110	1650	13219
111	1665	13205
112	1680	13192
113	1695	13175
114	1710	13165
115	1726	13156
116	1741	13141
117	1755	13125
118	1771	13111
119	1785	13095
120	1800	13083
121	1815	13068
122	1830	13052
123	1845	13037
124	1859	13018
125	1874	13001
126	1889	12985
127	1904	12971
128	1919	12959
129	1934	12943
130	1948	12926
131	1963	12908
132	1977	12889
133	1992	12874
134	2006	12856
135	2021	12839
136	2035	12824
137	2050	12808
138	2065	12792
139	2080	12782
140	2095	12765
141	2110	12750
142	2124	12733
143	2139	12718
144	2154	12706
145	2169	12691
146	2184	12676
147	2199	12659
148	2213	12642
149	2228	12628
150	2243	12614
151	2257	12596
152	2272	12581
153	2287	12565
154	2303	12555
155	2317	12535
156	2331	12521
157	2346	12506
158	2361	12489
159	2376	12475
160	2391	12462
161	2406	12447
162	2421	12433
163	2435	12416
164	2450	12400
165	2465	12387
166	2480	12371
167	2494	12356
168	2510	12343
169	2524	12327
170	2540	12314
171	2554	12298
172	2569	12283
173	2584	12268
174	2599	12256
175	2615	12243
176	2629	12228
177	2645	12214
178	2660	12201
179	2675	12186
180	2689	12171
181	2704	12154
182	2719	12140
183	2734	12124
184	2748	12108
185	2763	12095
186	2778	12078
187	2792	12062
188	2807	12048
189	2822	12032
190	2837	12019
191	2852	12006
192	2867	11991
193	2883	11980
194	2899	11968
195	2914	11954
196	2929	11939
197	2944	11925
198	2958	11907
199	2972	11891
200	2987	11875
201	3001	11858
202	3016	11843
203	3031	11826
204	3046	11812
205	3061	11798
206	3075	11780
207	3089	11765
208	3104	11749
209	3119	11734
210	3133	11718
211	3148	11702
212	3162	11686
213	3177	11670
214	3192	11655
215	3207	11640
216	3221	11624
217	3236	11610
218	3251	11594
219	3266	11579
