iter	Passed	Remaining
0	201	40131
1	423	41944
2	638	41956
3	906	44402
4	1170	45665
5	1410	45604
6	1657	45703
7	1914	45942
8	2155	45747
9	2389	45400
10	2629	45184
11	2876	45059
12	3110	44744
13	3341	44394
14	3580	44164
15	3830	44045
16	4065	43765
17	4302	43504
18	4567	43511
19	4835	43523
20	5121	43652
21	5368	43439
22	5627	43309
23	5878	43107
24	6127	42894
25	6455	43205
26	6757	43296
27	7051	43315
28	7332	43234
29	7597	43052
30	7853	42813
31	8117	42617
32	8367	42346
33	8634	42155
34	8885	41890
35	9168	41768
36	9414	41472
37	9674	41242
38	9928	40988
39	10190	40761
40	10485	40662
41	10737	40393
42	10988	40119
43	11268	39952
44	11532	39722
45	11776	39426
46	12029	39160
47	12288	38912
48	12550	38675
49	12855	38566
50	13107	38294
51	13369	38053
52	13634	37815
53	13876	37518
54	14129	37249
55	14409	37054
56	14681	36831
57	14932	36559
58	15184	36288
59	15436	36018
60	15713	35806
61	15969	35544
62	16225	35283
63	16491	35043
64	16727	34742
65	16995	34505
66	17248	34239
67	17548	34065
68	17807	33808
69	18067	33553
70	18323	33291
71	18601	33069
72	18846	32788
73	19109	32538
74	19360	32267
75	19660	32077
76	19908	31801
77	20176	31557
78	20438	31304
79	20710	31066
80	20962	30796
81	21244	30571
82	21500	30308
83	21756	30044
84	22007	29774
85	22278	29531
86	22549	29288
87	22828	29054
88	23078	28783
89	23349	28537
90	23649	28326
91	23908	28066
92	24159	27796
93	24408	27524
94	24680	27278
95	24933	27011
96	25184	26741
97	25430	26468
98	25700	26219
99	25948	25948
100	26196	25678
101	26466	25428
102	26725	25168
103	26998	24921
104	27245	24650
105	27507	24393
106	27760	24128
107	28006	23857
108	28263	23596
109	28524	23338
110	28793	23086
111	29046	22822
112	29296	22555
113	29557	22297
114	29815	22037
115	30074	21778
116	30334	21519
117	30624	21281
118	30878	21017
119	31156	20770
120	31422	20515
121	31677	20252
122	31922	19984
123	32167	19715
124	32425	19455
125	32688	19197
126	32940	18934
127	33191	18670
128	33449	18410
129	33698	18145
130	33955	17884
131	34244	17641
132	34513	17386
133	34770	17125
134	35016	16859
135	35291	16607
136	35569	16356
137	35823	16094
138	36073	15830
139	36322	15566
140	36589	15310
141	36846	15050
142	37122	14797
143	37389	14540
144	37664	14286
145	37917	14024
146	38165	13760
147	38430	13502
148	38693	13244
149	38950	12983
150	39239	12733
151	39500	12473
152	39755	12212
153	40041	11960
154	40322	11706
155	40583	11446
156	40857	11190
157	41131	10933
158	41388	10672
159	41645	10411
160	41906	10151
161	42162	9889
162	42413	9627
163	42669	9366
164	42935	9107
165	43186	8845
166	43453	8586
167	43706	8325
168	43977	8066
169	44241	7807
170	44499	7546
171	44753	7285
172	45030	7027
173	45283	6766
174	45541	6505
175	45788	6243
176	46056	5984
177	46312	5723
178	46576	5464
179	46832	5203
180	47086	4942
181	47345	4682
182	47605	4422
183	47853	4161
184	48108	3900
185	48393	3642
186	48649	3382
187	48906	3121
188	49174	2862
189	49424	2601
190	49683	2341
191	49936	2080
192	50204	1820
193	50455	1560
194	50715	1300
195	50970	1040
196	51221	780
197	51475	519
198	51725	259
199	51994	0
