iter	Logloss
0	0.6187510922
1	0.5668763457
2	0.5216638503
3	0.487271332
4	0.4622340112
5	0.4403655762
6	0.4247458151
7	0.4109912219
8	0.3986845422
9	0.3901385414
10	0.3829800352
11	0.3767717928
12	0.3716578881
13	0.3684847613
14	0.3651938206
15	0.3616998545
16	0.3592503771
17	0.3575001615
18	0.3558253319
19	0.353811489
20	0.35223442
21	0.3506993739
22	0.3496413546
23	0.348331584
24	0.3475815922
25	0.34669785
26	0.3457713453
27	0.3448868684
28	0.3437987138
29	0.343187442
30	0.3423801803
31	0.3414616781
32	0.3407881317
33	0.3400405297
34	0.3395564961
35	0.33895191
36	0.3382934274
37	0.3377076646
38	0.3371022096
39	0.3366074719
40	0.3360113259
41	0.3356249931
42	0.3350703153
43	0.3344199458
44	0.3339436125
45	0.3331972545
46	0.3327502867
47	0.3322519936
48	0.3318309842
49	0.3314705517
50	0.3310015243
51	0.3305384065
52	0.33028109
53	0.3299712838
54	0.3295681594
55	0.3293007328
56	0.3290189444
57	0.3286133414
58	0.3281455843
59	0.3278460242
60	0.3273827102
61	0.3271031749
62	0.3268018426
63	0.3265077598
64	0.3260719081
65	0.3257076112
66	0.3252788282
67	0.3250562686
68	0.3247708616
69	0.3243964542
70	0.324151594
71	0.3238850086
72	0.3235683917
73	0.323259373
74	0.3229375198
75	0.3227315678
76	0.322438482
77	0.3221990156
78	0.3220021356
79	0.3216090284
80	0.3214342304
81	0.3211419805
82	0.3208942206
83	0.3206599976
84	0.3201642999
85	0.319862196
86	0.3195113278
87	0.3192707954
88	0.3189687643
89	0.3186495842
90	0.3185424388
91	0.3183526933
92	0.3180158753
93	0.3177523893
94	0.3175637064
95	0.3172707873
96	0.3170007657
97	0.3165352977
98	0.3162002416
99	0.3159049456
100	0.3155949576
101	0.315294911
102	0.3149975182
103	0.3147061409
104	0.3143334594
105	0.3141291156
106	0.3137945075
107	0.3135409201
108	0.3131180192
109	0.3127060577
110	0.3125054586
111	0.3120848192
112	0.3117209044
113	0.3113509673
114	0.3110951221
115	0.3108750427
116	0.3105738867
117	0.310296955
118	0.3100744441
119	0.3098565135
120	0.3095170786
121	0.3093092911
122	0.3091714208
123	0.3088922574
124	0.3086053356
125	0.3083044831
126	0.3080533576
127	0.3078090764
128	0.307514221
129	0.3072363754
130	0.3068759584
131	0.3067874773
132	0.3065200041
133	0.3061747736
134	0.3057605013
135	0.3054526742
136	0.3053334751
137	0.3050744718
138	0.3047619721
139	0.3045055991
140	0.3042568643
141	0.3038773559
142	0.3036110788
143	0.3033012465
144	0.3029917584
145	0.3026676446
146	0.3023536926
147	0.3020758051
148	0.3017719491
149	0.3015171626
150	0.3011663722
151	0.3009829762
152	0.3007717588
153	0.3006469215
154	0.3004013487
155	0.3001043871
156	0.2998946239
157	0.2996122036
158	0.299341015
159	0.2990158255
160	0.2987653423
161	0.2985276779
162	0.2983434935
163	0.2980398915
164	0.2979365285
165	0.2976796544
166	0.2975360946
167	0.2973369812
168	0.2970463319
169	0.2968052947
170	0.2965270029
171	0.2962154332
172	0.2959391775
173	0.2957896513
