iter	Passed	Remaining
0	13	13467
1	27	13722
2	41	13791
3	56	14089
4	71	14225
5	85	14195
6	99	14178
7	114	14166
8	128	14123
9	142	14096
10	156	14089
11	172	14166
12	186	14181
13	202	14247
14	216	14200
15	230	14200
16	244	14161
17	259	14135
18	273	14131
19	288	14137
20	303	14143
21	317	14130
22	332	14126
23	347	14142
24	363	14162
25	377	14156
26	393	14163
27	408	14163
28	423	14165
29	437	14157
30	453	14160
31	471	14262
32	486	14270
33	501	14254
34	516	14252
35	532	14252
36	546	14227
37	561	14214
38	576	14203
39	590	14171
40	605	14161
41	620	14146
42	634	14125
43	648	14100
44	663	14086
45	679	14085
46	693	14055
47	707	14041
48	722	14024
49	737	14007
50	751	13987
51	766	13974
52	781	13966
53	797	13967
54	811	13946
55	826	13925
56	840	13909
57	855	13892
58	870	13879
59	885	13868
60	899	13850
61	914	13836
62	930	13835
63	945	13823
64	959	13805
65	974	13789
66	988	13771
67	1003	13759
68	1018	13745
69	1034	13739
70	1048	13720
71	1063	13712
72	1079	13706
73	1093	13688
74	1108	13677
75	1123	13659
76	1138	13652
77	1154	13644
78	1169	13636
79	1184	13622
80	1200	13617
81	1216	13620
82	1233	13623
83	1249	13623
84	1267	13639
85	1283	13643
86	1299	13638
87	1315	13636
88	1331	13629
89	1347	13620
90	1362	13611
91	1377	13596
92	1392	13580
93	1407	13562
94	1421	13539
95	1435	13517
96	1450	13507
97	1465	13489
98	1480	13475
99	1495	13456
100	1510	13442
101	1524	13423
102	1538	13402
103	1554	13396
104	1569	13379
105	1584	13361
106	1599	13347
107	1614	13332
108	1629	13320
109	1646	13318
110	1664	13330
111	1680	13320
112	1695	13311
113	1711	13297
114	1726	13288
115	1742	13276
116	1757	13260
117	1771	13244
118	1786	13228
119	1801	13209
120	1816	13193
121	1831	13179
122	1845	13158
123	1860	13141
124	1874	13121
125	1889	13103
126	1904	13092
127	1919	13077
128	1935	13071
129	1951	13062
130	1967	13051
131	1983	13041
132	1999	13035
133	2016	13030
134	2031	13018
135	2047	13008
136	2063	12995
137	2079	12987
138	2095	12978
139	2111	12970
140	2127	12959
141	2142	12948
142	2158	12938
143	2174	12925
144	2189	12912
145	2205	12900
146	2221	12889
147	2237	12879
148	2254	12873
149	2269	12861
150	2285	12852
151	2301	12839
152	2316	12826
153	2331	12810
154	2348	12804
155	2364	12792
156	2379	12777
157	2395	12764
158	2411	12752
159	2427	12741
160	2441	12723
161	2457	12713
162	2472	12697
163	2488	12683
164	2503	12666
165	2518	12654
166	2533	12637
167	2549	12624
168	2564	12608
169	2579	12592
170	2594	12579
171	2609	12563
172	2625	12548
173	2639	12531
174	2653	12510
175	2668	12494
176	2683	12476
177	2697	12459
178	2712	12442
179	2727	12423
180	2741	12407
181	2757	12392
182	2772	12377
183	2787	12361
184	2801	12343
185	2816	12327
186	2831	12311
187	2847	12296
188	2862	12280
189	2876	12264
190	2891	12247
191	2906	12230
192	2921	12215
193	2936	12199
194	2951	12182
195	2966	12168
196	2981	12154
197	2996	12138
198	3011	12121
199	3026	12105
200	3041	12088
201	3055	12072
202	3070	12053
203	3084	12037
204	3099	12019
205	3115	12006
206	3129	11988
207	3144	11972
208	3158	11953
209	3173	11937
210	3187	11920
211	3203	11906
212	3217	11887
213	3231	11869
214	3246	11853
215	3261	11837
216	3275	11818
217	3290	11802
218	3305	11787
219	3320	11771
220	3334	11754
221	3349	11737
222	3363	11720
223	3378	11704
224	3393	11689
225	3408	11672
226	3424	11661
227	3438	11644
228	3453	11628
229	3468	11612
230	3483	11596
231	3498	11580
232	3512	11564
233	3526	11545
234	3541	11528
235	3556	11514
236	3571	11497
237	3585	11480
238	3600	11465
239	3615	11449
240	3630	11433
241	3645	11418
242	3660	11402
243	3675	11386
244	3689	11370
245	3703	11352
246	3718	11336
247	3733	11320
248	3747	11303
249	3762	11286
250	3776	11269
251	3791	11253
252	3805	11235
253	3819	11219
254	3834	11201
255	3848	11186
256	3864	11171
257	3879	11156
258	3894	11141
259	3909	11127
260	3924	11111
261	3938	11094
262	3953	11079
263	3968	11064
264	3983	11048
265	3998	11032
266	4013	11017
267	4027	11001
268	4042	10984
269	4057	10969
270	4072	10956
271	4087	10939
272	4101	10922
273	4116	10906
274	4131	10890
275	4146	10876
276	4160	10859
277	4176	10846
278	4191	10830
279	4205	10814
280	4220	10798
281	4234	10781
282	4248	10764
283	4263	10748
284	4277	10731
285	4291	10714
286	4306	10698
287	4320	10682
288	4335	10666
289	4350	10651
290	4365	10635
291	4379	10619
292	4394	10604
293	4409	10588
294	4423	10572
295	4440	10561
296	4455	10546
297	4471	10532
298	4485	10516
299	4500	10501
300	4515	10486
301	4530	10471
302	4544	10454
303	4559	10438
304	4574	10424
305	4590	10410
306	4605	10395
307	4619	10379
308	4634	10364
309	4649	10348
310	4663	10332
311	4678	10316
312	4693	10301
313	4707	10285
314	4722	10270
315	4748	10278
316	4763	10262
317	4778	10248
318	4793	10232
319	4808	10217
320	4822	10201
321	4837	10185
322	4851	10169
323	4866	10154
324	4881	10138
325	4896	10122
326	4911	10107
327	4925	10092
328	4941	10077
329	4955	10061
330	4970	10045
331	4984	10029
332	4999	10014
333	5014	9998
334	5028	9982
335	5043	9966
336	5057	9950
337	5072	9934
338	5086	9918
339	5102	9904
340	5116	9888
341	5131	9873
342	5146	9858
343	5161	9843
344	5176	9827
345	5192	9814
346	5208	9802
347	5223	9787
348	5244	9781
349	5259	9767
350	5273	9751
351	5288	9735
352	5303	9720
353	5318	9705
354	5333	9689
355	5347	9674
356	5362	9658
357	5377	9643
358	5391	9627
359	5407	9612
360	5421	9596
361	5436	9581
362	5451	9566
363	5466	9550
364	5481	9536
365	5496	9520
366	5511	9506
367	5526	9491
368	5541	9475
369	5556	9460
370	5571	9445
371	5585	9429
372	5601	9415
373	5616	9400
374	5631	9385
375	5646	9370
376	5660	9353
377	5675	9338
378	5689	9323
379	5704	9308
380	5719	9292
381	5734	9277
382	5749	9261
383	5763	9246
384	5778	9231
385	5794	9217
386	5809	9202
387	5824	9187
388	5839	9171
389	5853	9155
